transaction_id,customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,age_group,frequency_score,revenue_segment
46,46,50,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,True,2-Day Shipping,True,True,25,PayPal,Annually,Middle Age,1,Low
47,47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,True,Store Pickup,True,True,45,Cash,Quarterly,Middle Age,4,Medium
48,48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,True,Free Shipping,True,True,36,Cash,Weekly,Middle Age,52,Medium
49,49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,True,Store Pickup,True,True,38,Cash,Monthly,Middle Age,12,Medium
50,50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,True,Next Day Air,True,True,34,Debit Card,Bi-Weekly,Senior,26,Medium
51,51,49,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,True,Store Pickup,True,True,39,Debit Card,Bi-Weekly,Middle Age,26,Low
52,52,59,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,True,2-Day Shipping,True,True,7,Credit Card,Quarterly,Middle Age,4,Medium
53,53,42,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,True,Free Shipping,True,True,26,Credit Card,Weekly,Middle Age,52,Low
54,54,29,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,True,Next Day Air,True,True,35,Credit Card,Weekly,Adult,52,Low
55,55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,True,Next Day Air,True,True,35,Debit Card,Bi-Weekly,Middle Age,26,High
56,56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,True,2-Day Shipping,True,True,49,Credit Card,Annually,Middle Age,1,Low
57,57,41,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,True,Store Pickup,True,True,46,Credit Card,Weekly,Middle Age,52,High
58,58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,True,Store Pickup,True,True,17,Debit Card,Fortnightly,Young Adult,26,Medium
59,59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,True,Free Shipping,True,True,29,Venmo,Monthly,Senior,12,Medium
60,60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,True,Standard,True,True,4,Debit Card,Weekly,Senior,52,High
61,61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,True,Express,True,True,17,Cash,Weekly,Middle Age,52,Medium
62,62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,True,Store Pickup,True,True,21,Credit Card,Every 3 Months,Middle Age,4,Medium
63,63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,True,Free Shipping,True,True,31,Credit Card,Fortnightly,Adult,26,Low
64,64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,True,2-Day Shipping,True,True,43,Credit Card,Weekly,Adult,52,High
65,65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,True,Standard,True,True,18,Debit Card,Fortnightly,Senior,26,High
66,66,65,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,True,2-Day Shipping,True,True,44,Venmo,Every 3 Months,Senior,4,Medium
67,67,31,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,True,2-Day Shipping,True,True,3,Venmo,Every 3 Months,Adult,4,High
68,68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,True,Store Pickup,True,True,49,Debit Card,Monthly,Middle Age,12,Medium
69,69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,True,Next Day Air,True,True,21,Cash,Every 3 Months,Middle Age,4,Medium
70,70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,True,Express,True,True,5,Cash,Weekly,Middle Age,52,High
71,71,22,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,True,Express,True,True,32,Debit Card,Every 3 Months,Young Adult,4,Low
72,72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,True,Express,True,True,34,Bank Transfer,Annually,Adult,1,Medium
73,73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,True,Store Pickup,True,True,21,Bank Transfer,Every 3 Months,Young Adult,4,Low
74,74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,True,Free Shipping,True,True,43,Bank Transfer,Bi-Weekly,Middle Age,26,High
75,75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,True,Express,True,True,3,Cash,Monthly,Middle Age,12,Medium
76,76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,True,Free Shipping,True,True,21,Credit Card,Annually,Senior,1,High
77,77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,True,Free Shipping,True,True,32,Venmo,Monthly,Middle Age,12,Medium
78,78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,True,Next Day Air,True,True,36,Debit Card,Fortnightly,Young Adult,26,Medium
79,79,50,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,True,Free Shipping,True,True,50,Venmo,Fortnightly,Middle Age,26,High
80,80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,True,2-Day Shipping,True,True,43,Bank Transfer,Every 3 Months,Adult,4,High
81,81,19,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.3,True,Store Pickup,True,True,24,Credit Card,Every 3 Months,Young Adult,4,High
82,82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,True,Express,True,True,36,Credit Card,Every 3 Months,Senior,4,High
83,83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,True,2-Day Shipping,True,True,21,Credit Card,Every 3 Months,Young Adult,4,Low
84,84,36,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,True,Standard,True,True,34,Bank Transfer,Weekly,Adult,52,Medium
85,85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,True,Standard,True,True,42,Bank Transfer,Every 3 Months,Middle Age,4,Medium
86,86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,True,Next Day Air,True,True,2,Debit Card,Bi-Weekly,Middle Age,26,High
87,87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,True,2-Day Shipping,True,True,47,Cash,Bi-Weekly,Young Adult,26,Medium
88,88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,True,2-Day Shipping,True,True,44,Debit Card,Fortnightly,Middle Age,26,Medium
89,89,33,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,True,Free Shipping,True,True,35,Credit Card,Monthly,Adult,12,Medium
90,90,47,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,True,Next Day Air,True,True,15,Cash,Quarterly,Middle Age,4,High
91,91,25,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,True,Express,True,True,29,Credit Card,Monthly,Young Adult,12,Medium
92,92,44,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,True,Standard,True,True,18,Credit Card,Every 3 Months,Middle Age,4,High
93,93,61,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,True,2-Day Shipping,True,True,13,Venmo,Every 3 Months,Senior,4,High
94,94,37,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,True,Standard,True,True,46,Credit Card,Weekly,Adult,52,Medium
95,95,58,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,True,Free Shipping,True,True,28,Credit Card,Weekly,Middle Age,52,High
96,96,37,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,True,Free Shipping,True,True,48,PayPal,Monthly,Adult,12,High
97,97,32,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.6,True,Express,True,True,43,Venmo,Every 3 Months,Adult,4,High
98,98,21,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,True,Store Pickup,True,True,37,Cash,Annually,Young Adult,1,High
99,99,20,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,True,Next Day Air,True,True,20,Bank Transfer,Annually,Young Adult,1,Medium
100,100,26,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,True,Express,True,True,33,Debit Card,Quarterly,Adult,4,Medium
101,101,62,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,True,Express,True,True,31,Cash,Fortnightly,Senior,26,High
102,102,27,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,True,Express,True,True,50,Credit Card,Bi-Weekly,Adult,26,High
103,103,51,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,True,Next Day Air,True,True,35,Credit Card,Quarterly,Middle Age,4,Medium
104,104,54,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,4.0,True,Next Day Air,True,True,22,Venmo,Bi-Weekly,Middle Age,26,High
105,105,55,Male,Sunglasses,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,True,2-Day Shipping,True,True,1,PayPal,Monthly,Middle Age,12,Low
106,106,69,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,True,Next Day Air,True,True,4,Bank Transfer,Annually,Senior,1,High
107,107,64,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,True,Standard,True,True,31,Credit Card,Monthly,Senior,12,Medium
108,108,28,Male,Sneakers,Footwear,67.0,Maryland,L,Olive,Winter,3.1,True,Next Day Air,True,True,46,PayPal,Fortnightly,Adult,26,Medium
109,109,70,Male,Socks,Clothing,79.0,Montana,L,Purple,Spring,3.4,True,Next Day Air,True,True,32,Bank Transfer,Bi-Weekly,Senior,26,High
110,110,58,Male,T-shirt,Clothing,85.0,Alabama,M,Violet,Spring,2.6,True,Next Day Air,True,True,43,Bank Transfer,Fortnightly,Middle Age,26,High
111,111,56,Male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,True,Standard,True,True,26,Venmo,Fortnightly,Middle Age,26,Low
112,112,26,Male,Belt,Accessories,75.0,Massachusetts,L,Purple,Summer,5.0,True,Free Shipping,True,True,9,Credit Card,Annually,Adult,1,High
113,113,37,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,True,Free Shipping,True,True,28,PayPal,Bi-Weekly,Adult,26,Medium
114,114,44,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,True,Next Day Air,True,True,20,PayPal,Quarterly,Middle Age,4,Medium
115,115,70,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,True,Store Pickup,True,True,9,Cash,Weekly,Senior,52,High
116,116,53,Male,Skirt,Clothing,94.0,Wyoming,M,Gray,Spring,3.8,True,Standard,True,True,48,Debit Card,Every 3 Months,Middle Age,4,High
117,117,55,Male,Shoes,Footwear,86.0,Virginia,S,Blue,Spring,3.4,True,Free Shipping,True,True,12,Venmo,Annually,Middle Age,1,High
118,118,50,Male,Sandals,Footwear,32.0,South Dakota,L,Yellow,Summer,4.6,True,Express,True,True,29,Cash,Fortnightly,Middle Age,26,Medium
119,119,50,Male,Sweater,Clothing,45.0,Kentucky,L,Orange,Fall,4.8,True,2-Day Shipping,True,True,27,Cash,Bi-Weekly,Middle Age,26,Medium
120,120,38,Male,Coat,Outerwear,76.0,Wyoming,M,Orange,Fall,4.3,True,Express,True,True,44,Cash,Annually,Adult,1,High
121,121,64,Male,Hat,Accessories,84.0,West Virginia,L,Red,Summer,4.0,True,Express,True,True,32,Bank Transfer,Annually,Senior,1,High
122,122,19,Male,Shorts,Clothing,72.0,Virginia,M,Olive,Winter,4.2,True,Standard,True,True,11,Cash,Fortnightly,Young Adult,26,High
123,123,40,Male,Backpack,Accessories,40.0,Washington,L,Brown,Spring,4.8,True,2-Day Shipping,True,True,44,Cash,Fortnightly,Middle Age,26,Medium
124,124,57,Male,Sweater,Clothing,89.0,Louisiana,L,Brown,Fall,3.1,True,Free Shipping,True,True,46,Cash,Weekly,Middle Age,52,High
125,125,44,Male,Sweater,Clothing,86.0,Nevada,M,Gray,Spring,3.1,True,Next Day Air,True,True,50,PayPal,Annually,Middle Age,1,High
126,126,49,Male,Shorts,Clothing,54.0,California,M,Indigo,Winter,3.6,True,Next Day Air,True,True,45,Venmo,Every 3 Months,Middle Age,4,Medium
127,127,43,Male,Shorts,Clothing,36.0,Mississippi,L,Pink,Spring,3.9,True,Store Pickup,True,True,48,Cash,Every 3 Months,Middle Age,4,Medium
128,128,24,Male,Sweater,Clothing,89.0,Mississippi,M,Gray,Winter,4.8,True,Next Day Air,True,True,26,Credit Card,Weekly,Young Adult,52,High
129,129,20,Male,Scarf,Accessories,32.0,California,M,Gold,Spring,4.7,True,Standard,True,True,21,Credit Card,Fortnightly,Young Adult,26,Medium
130,130,24,Male,Dress,Clothing,67.0,Pennsylvania,XL,Olive,Summer,4.2,True,2-Day Shipping,True,True,49,PayPal,Bi-Weekly,Young Adult,26,Medium
131,131,44,Male,Scarf,Accessories,39.0,Kentucky,L,Violet,Fall,3.7,True,Next Day Air,True,True,13,PayPal,Fortnightly,Middle Age,26,Medium
132,132,28,Male,Skirt,Clothing,29.0,Maine,L,Indigo,Summer,3.9,True,Standard,True,True,46,Credit Card,Weekly,Adult,52,Low
133,133,30,Male,Backpack,Accessories,58.0,New Mexico,M,Orange,Fall,4.7,True,2-Day Shipping,True,True,42,PayPal,Weekly,Adult,52,Medium
134,134,52,Male,Sweater,Clothing,65.0,Montana,M,Violet,Winter,2.5,True,Next Day Air,True,True,25,Venmo,Annually,Middle Age,1,Medium
135,135,43,Male,Hat,Accessories,94.0,Texas,L,Gray,Fall,4.9,True,Store Pickup,True,True,25,Cash,Monthly,Middle Age,12,High
136,136,43,Male,Sandals,Footwear,81.0,Kansas,M,Purple,Fall,4.1,True,Express,True,True,12,PayPal,Quarterly,Middle Age,4,High
137,137,39,Male,Blouse,Clothing,86.0,South Carolina,M,White,Winter,3.3,True,Free Shipping,True,True,4,Debit Card,Quarterly,Adult,4,High
138,138,68,Male,Sneakers,Footwear,43.0,Colorado,M,Turquoise,Spring,4.7,True,Free Shipping,True,True,38,PayPal,Weekly,Senior,52,Medium
139,139,68,Male,Skirt,Clothing,29.0,Georgia,M,Maroon,Winter,4.4,True,Store Pickup,True,True,42,Bank Transfer,Weekly,Senior,52,Low
140,140,49,Male,Coat,Outerwear,95.0,Florida,M,White,Fall,3.8,True,Store Pickup,True,True,30,Venmo,Annually,Middle Age,1,High
141,141,63,Male,Shirt,Clothing,28.0,North Carolina,L,Yellow,Fall,3.9,True,2-Day Shipping,True,True,50,Credit Card,Weekly,Senior,52,Low
142,142,56,Male,Gloves,Accessories,46.0,Virginia,M,Turquoise,Fall,4.9,True,Free Shipping,True,True,45,PayPal,Weekly,Middle Age,52,Medium
143,143,37,Male,Jacket,Outerwear,58.0,Nebraska,L,Violet,Fall,3.1,True,Free Shipping,True,True,33,Credit Card,Fortnightly,Adult,26,Medium
144,144,30,Male,Coat,Outerwear,48.0,Missouri,M,Beige,Fall,2.7,True,Store Pickup,True,True,25,PayPal,Quarterly,Adult,4,Medium
145,145,19,Male,Shoes,Footwear,43.0,New Jersey,M,Silver,Fall,3.2,True,Express,True,True,25,Cash,Monthly,Young Adult,12,Medium
146,146,24,Male,Jewelry,Accessories,95.0,Missouri,M,Teal,Fall,4.5,True,Standard,True,True,44,Debit Card,Quarterly,Young Adult,4,High
147,147,52,Male,Skirt,Clothing,30.0,Colorado,S,Black,Fall,4.0,True,Standard,True,True,21,Venmo,Fortnightly,Middle Age,26,Medium
148,148,63,Male,Shoes,Footwear,64.0,Idaho,M,Purple,Summer,3.5,True,2-Day Shipping,True,True,31,Bank Transfer,Fortnightly,Senior,26,Medium
149,149,37,Male,Gloves,Accessories,90.0,Wyoming,M,Gray,Fall,2.6,True,Store Pickup,True,True,47,Debit Card,Annually,Adult,1,High
150,150,38,Male,Pants,Clothing,76.0,Delaware,M,White,Summer,3.2,True,Free Shipping,True,True,14,PayPal,Monthly,Adult,12,High
151,151,35,Male,Boots,Footwear,96.0,California,L,Cyan,Fall,4.9,True,Standard,True,True,17,Debit Card,Every 3 Months,Adult,4,High
152,152,28,Male,Sunglasses,Accessories,47.0,North Dakota,L,Turquoise,Fall,4.5,True,Next Day Air,True,True,3,Venmo,Annually,Adult,1,Medium
153,153,30,Male,Shirt,Clothing,85.0,South Carolina,S,Brown,Summer,4.3,True,Express,True,True,42,Venmo,Annually,Adult,1,High
154,154,69,Male,Hoodie,Clothing,55.0,North Carolina,M,Maroon,Winter,3.2,True,Standard,True,True,22,Debit Card,Annually,Senior,1,Medium
155,155,41,Male,Dress,Clothing,98.0,Oklahoma,M,Charcoal,Fall,3.6,True,Next Day Air,True,True,21,Venmo,Quarterly,Middle Age,4,High
156,156,63,Male,Socks,Clothing,77.0,Maine,S,Olive,Spring,4.3,True,Free Shipping,True,True,21,Bank Transfer,Quarterly,Senior,4,High
157,157,35,Male,Shorts,Clothing,26.0,Missouri,M,Lavender,Fall,4.0,True,Standard,True,True,40,Debit Card,Annually,Adult,1,Low
158,158,36,Male,Hat,Accessories,68.0,Vermont,S,Yellow,Fall,3.0,True,Next Day Air,True,True,1,Bank Transfer,Fortnightly,Adult,26,Medium
159,159,25,Male,Shirt,Clothing,73.0,Connecticut,XL,Teal,Fall,4.1,True,Standard,True,True,50,Bank Transfer,Monthly,Young Adult,12,High
160,160,58,Male,Gloves,Accessories,27.0,New Hampshire,M,Charcoal,Fall,3.8,True,Store Pickup,True,True,39,Bank Transfer,Every 3 Months,Middle Age,4,Low
161,161,27,Male,Gloves,Accessories,23.0,Texas,M,Orange,Summer,4.6,True,Free Shipping,True,True,34,Venmo,Monthly,Adult,12,Low
162,162,65,Male,Backpack,Accessories,49.0,North Dakota,M,Olive,Fall,3.0,True,Express,True,True,29,Venmo,Fortnightly,Senior,26,Medium
163,163,54,Male,Sunglasses,Accessories,74.0,California,M,Turquoise,Summer,3.0,True,Store Pickup,True,True,31,PayPal,Bi-Weekly,Middle Age,26,High
164,164,54,Male,Skirt,Clothing,67.0,Virginia,M,Purple,Summer,3.4,True,Standard,True,True,8,Debit Card,Weekly,Middle Age,52,Medium
165,165,59,Male,Handbag,Accessories,65.0,Delaware,S,Purple,Spring,2.6,True,Free Shipping,True,True,5,Credit Card,Fortnightly,Middle Age,26,Medium
166,166,42,Male,Handbag,Accessories,60.0,Kentucky,S,Yellow,Winter,2.8,True,Store Pickup,True,True,7,Cash,Monthly,Middle Age,12,Medium
167,167,46,Male,Sneakers,Footwear,31.0,Delaware,XL,Indigo,Fall,4.0,True,Store Pickup,True,True,30,Cash,Monthly,Middle Age,12,Medium
168,168,33,Male,Gloves,Accessories,27.0,Arkansas,M,Green,Fall,4.0,True,Express,True,True,14,Credit Card,Every 3 Months,Adult,4,Low
169,169,34,Male,Shoes,Footwear,80.0,Louisiana,M,Magenta,Summer,3.0,True,Express,True,True,5,Cash,Fortnightly,Adult,26,High
170,170,27,Male,Jacket,Outerwear,30.0,Nevada,S,Gold,Summer,3.3,True,Standard,True,True,3,PayPal,Every 3 Months,Adult,4,Medium
171,171,52,Male,Shirt,Clothing,25.0,Wyoming,M,Maroon,Fall,2.6,True,Store Pickup,True,True,46,Venmo,Bi-Weekly,Middle Age,26,Low
172,172,29,Male,Shorts,Clothing,35.0,Virginia,M,Blue,Summer,3.6,True,Store Pickup,True,True,4,Credit Card,Weekly,Adult,52,Medium
173,173,54,Male,Jewelry,Accessories,67.0,Nebraska,M,Violet,Summer,3.9,True,Next Day Air,True,True,42,Credit Card,Bi-Weekly,Middle Age,26,Medium
174,174,25,Male,Hat,Accessories,46.0,Hawaii,M,Turquoise,Fall,3.4,True,Standard,True,True,30,Cash,Annually,Young Adult,1,Medium
175,175,41,Male,Shoes,Footwear,35.0,Vermont,L,Brown,Winter,3.5,True,Express,True,True,37,Venmo,Annually,Middle Age,1,Medium
